4000 0.001 0.008 1.4572757548405563e-07 0.201573824  -1.568117178 -1.567942562 -1.567883811 -1.366543354 -1.365550554 -1.365240687 -1.363645938
4000 0.001 0.008 1.457095740263908e-07 0.2042852289999999  -1.568019997 -1.567911348 -1.567828823 -1.363734768 -1.363599903 -1.363212559 -1.362864819
4000 0.001 0.008 1.3807531727765841e-07 0.2015031650000001  -1.568032421 -1.567972982 -1.56786029 -1.366529256 -1.366378696 -1.366024065 -1.364790233
4000 0.001 0.008 1.1656687949401509e-07 0.2020136509999999  -1.568054128 -1.567978277 -1.567851942 -1.366040477 -1.365981506 -1.365438485 -1.364921864
4000 0.001 0.008 1.1786212466838387e-07 0.2015841490000001  -1.567941829 -1.567910369 -1.567899184 -1.36635768 -1.366221468 -1.365798791 -1.364759111
4000 0.001 0.008 1.4322836591833183e-07 0.20451167000000003  -1.56805703 -1.567926305 -1.567860755 -1.36354536 -1.363464891 -1.363095575 -1.362500335
4000 0.001 0.008 1.3597040011094656e-07 0.20433314200000008  -1.568044962 -1.567946471 -1.567764088 -1.36371182 -1.363373563 -1.363102323 -1.362492635
4000 0.001 0.008 1.2177007186093634e-07 0.20313136199999993  -1.56817222 -1.568016366 -1.567976332 -1.365040858 -1.364652496 -1.364149753 -1.36388522
4000 0.001 0.008 1.2144967212748584e-07 0.20311774299999996  -1.568023167 -1.56797023 -1.56795872 -1.364905424 -1.364739048 -1.363478886 -1.363069536
4000 0.001 0.008 1.1493957937300755e-07 0.2044027799999999  -1.568060515 -1.567868973 -1.567714857 -1.363657735 -1.363420019 -1.362930225 -1.362119528
4000 0.001 0.008 1.0144093208737058e-07 0.20044343799999997  -1.56815773 -1.567931301 -1.567890243 -1.367714292 -1.366964965 -1.366424004 -1.365335505
4000 0.001 0.008 1.7573684214229605e-07 0.20264935499999992  -1.568020456 -1.567950266 -1.567853576 -1.365371101 -1.364657823 -1.364329269 -1.364194404
4000 0.001 0.008 1.0668968812086537e-07 0.20539548400000007  -1.567963803 -1.567863145 -1.567764991 -1.362568319 -1.362441843 -1.362359604 -1.361924278
4000 0.001 0.008 1.3512047653915562e-07 0.20082880899999989  -1.568185174 -1.568044628 -1.567880437 -1.367356365 -1.365761935 -1.36555014 -1.364898227
4000 0.001 0.008 1.2139685680052705e-07 0.20315935900000004  -1.568040289 -1.567959067 -1.567839587 -1.36488093 -1.364689675 -1.364119796 -1.363015611
4000 0.001 0.008 1.4104813741007321e-07 0.20413586500000003  -1.568058894 -1.568020715 -1.567817807 -1.363923029 -1.363696166 -1.363397596 -1.362912392
4000 0.001 0.008 1.2869176155127835e-07 0.20338710800000004  -1.568216497 -1.567998779 -1.567896138 -1.364829389 -1.364748355 -1.364273657 -1.363780687
4000 0.001 0.008 1.298661249626059e-07 0.20301677899999993  -1.568009384 -1.567967898 -1.567897409 -1.364992605 -1.364293772 -1.364107518 -1.3639564
4000 0.001 0.008 1.2041796021238666e-07 0.20162529400000007  -1.568201443 -1.568128538 -1.567987999 -1.366576149 -1.365590351 -1.364710886 -1.364308257
4000 0.001 0.008 1.4841959187145547e-07 0.20360664500000003  -1.568005188 -1.567930245 -1.567834939 -1.364398543 -1.364264055 -1.363692377 -1.362937825
4000 0.001 0.008 1.310609005409378e-07 0.20430180599999992  -1.568049668 -1.567905826 -1.567797332 -1.363747862 -1.363369011 -1.363297633 -1.362945471
4000 0.001 0.008 1.4453347919432146e-07 0.20206341000000005  -1.568058781 -1.567905956 -1.56783377 -1.365995371 -1.365366756 -1.364805891 -1.364221784
4000 0.001 0.008 1.1208798970120952e-07 0.20254285999999988  -1.5680636 -1.56800681 -1.567969264 -1.36552074 -1.365068765 -1.364563631 -1.363414255
4000 0.001 0.008 1.1899434451211577e-07 0.20187667399999998  -1.56813972 -1.568000198 -1.567861691 -1.366263046 -1.365637053 -1.365078035 -1.364080254
4000 0.001 0.008 1.368431042285151e-07 0.20463522200000006  -1.567934607 -1.567902502 -1.567848099 -1.363299385 -1.363126249 -1.362946918 -1.362821508
4000 0.001 0.008 1.2237273107449277e-07 0.20250976399999998  -1.56809164 -1.568029941 -1.567842407 -1.365581876 -1.365300185 -1.365029375 -1.364191821
4000 0.001 0.008 1.3672391352023072e-07 0.203510364  -1.568126589 -1.568093047 -1.567828422 -1.364616225 -1.364233183 -1.363649231 -1.363282868
4000 0.001 0.008 1.2262188454548178e-07 0.20228492099999995  -1.568084385 -1.567901607 -1.567813086 -1.365799464 -1.365134496 -1.364461784 -1.363725318
4000 0.001 0.008 1.288400302746142e-07 0.20172848099999996  -1.568007515 -1.567946723 -1.56786495 -1.366279034 -1.365953645 -1.36520028 -1.363327358
4000 0.001 0.008 1.1904151363132631e-07 0.20273486200000002  -1.568070711 -1.567948062 -1.567818352 -1.365335849 -1.365100522 -1.364696603 -1.362892718
4000 0.03422222222222222 0.00023376623376623374 1.2544652234201153e-07 0.20482335000000007  -1.567953686 -1.567930631 -1.567856127 -1.363130336 -1.362846618 -1.36254688 -1.362235143
4000 0.03422222222222222 0.00023376623376623374 1.266611710756766e-07 0.20370151599999997  -1.567917948 -1.567875675 -1.567852156 -1.364216432 -1.36409886 -1.363958177 -1.362428322
4000 0.03422222222222222 0.00023376623376623374 1.2524249007734375e-07 0.20151793600000012  -1.568069707 -1.567983399 -1.567918349 -1.366551771 -1.366083652 -1.365573489 -1.364115418
4000 0.03422222222222222 0.00023376623376623374 1.271806325221687e-07 0.20209230299999992  -1.568065616 -1.567966233 -1.567901619 -1.365973313 -1.365589033 -1.365199465 -1.363909274
4000 0.03422222222222222 0.00023376623376623374 1.1722157610180521e-07 0.20423363300000008  -1.567961477 -1.56791283 -1.567870785 -1.363727844 -1.36353348 -1.36339098 -1.363149418
4000 0.03422222222222222 0.00023376623376623374 1.212988836516784e-07 0.20303813700000006  -1.568039586 -1.567995191 -1.56791616 -1.365001449 -1.364430454 -1.3642628 -1.363624497
4000 0.03422222222222222 0.00023376623376623374 1.273278973334617e-07 0.20385530699999999  -1.568021531 -1.567967341 -1.567928736 -1.364166224 -1.363918926 -1.363778531 -1.36256629
4000 0.03422222222222222 0.00023376623376623374 1.2056247545342165e-07 0.2046149290000001  -1.56793613 -1.567907256 -1.567841688 -1.363321201 -1.363102692 -1.362731197 -1.36247012
4000 0.03422222222222222 0.00023376623376623374 1.3222651356323664e-07 0.2042432540000001  -1.567986161 -1.567913461 -1.567824655 -1.363742907 -1.363651462 -1.363243997 -1.362220105
4000 0.03422222222222222 0.00023376623376623374 1.4457027431016808e-07 0.20500416200000005  -1.567937822 -1.567925113 -1.567859471 -1.36293366 -1.362540977 -1.362499098 -1.362360485
4000 0.03422222222222222 0.00023376623376623374 1.2142127779317138e-07 0.20473672500000006  -1.567915929 -1.567851294 -1.567834297 -1.363179204 -1.36299762 -1.362816978 -1.362219642
4000 0.03422222222222222 0.00023376623376623374 1.2606201883977302e-07 0.202448132  -1.56793872 -1.567913432 -1.567853263 -1.365490588 -1.36506991 -1.364501536 -1.363945424
4000 0.03422222222222222 0.00023376623376623374 1.247148654419484e-07 0.20380463999999998  -1.568001672 -1.567988108 -1.567904545 -1.364197032 -1.364055098 -1.363878192 -1.362755098
4000 0.03422222222222222 0.00023376623376623374 1.0980790252921953e-07 0.201249032  -1.568003081 -1.567903551 -1.567845296 -1.366754049 -1.366377299 -1.365943868 -1.362928718
4000 0.03422222222222222 0.00023376623376623374 1.3019207062366824e-07 0.20396394900000003  -1.567922459 -1.567882457 -1.567856918 -1.36395851 -1.36363943 -1.363526364 -1.362360943
4000 0.03422222222222222 0.00023376623376623374 1.1610744085509044e-07 0.20358759999999987  -1.568072969 -1.568031592 -1.567839554 -1.364485369 -1.364339797 -1.363983948 -1.363807631
4000 0.03422222222222222 0.00023376623376623374 1.3484899583246583e-07 0.20413206099999992  -1.568008846 -1.567965508 -1.567922239 -1.363876785 -1.363620217 -1.363527476 -1.362468673
4000 0.03422222222222222 0.00023376623376623374 1.3661315354364515e-07 0.20267292400000003  -1.567962098 -1.56794039 -1.567912554 -1.365289174 -1.365038334 -1.364498151 -1.363900528
4000 0.03422222222222222 0.00023376623376623374 1.4114832432213187e-07 0.20386724000000012  -1.567951504 -1.567932399 -1.567890129 -1.364084264 -1.364048945 -1.363830647 -1.363277679
4000 0.03422222222222222 0.00023376623376623374 1.213500686952855e-07 0.20282044300000002  -1.567949299 -1.567904694 -1.567841848 -1.365128856 -1.364987628 -1.364189068 -1.362545361
4000 0.03422222222222222 0.00023376623376623374 1.253861232682615e-07 0.203056801  -1.568074734 -1.568004241 -1.56786182 -1.365017933 -1.364729196 -1.364209157 -1.363192699
4000 0.03422222222222222 0.00023376623376623374 1.2061053872604762e-07 0.204327841  -1.568006311 -1.567888076 -1.567822586 -1.36367847 -1.363585172 -1.363320752 -1.362135134
4000 0.03422222222222222 0.00023376623376623374 1.2544140330357332e-07 0.2018998489999999  -1.56807693 -1.567989149 -1.56789537 -1.366177081 -1.3655612 -1.36456153 -1.363537003
4000 0.03422222222222222 0.00023376623376623374 1.0780429162886471e-07 0.20157762300000015  -1.568093796 -1.567957072 -1.567888106 -1.366516173 -1.365896462 -1.364629962 -1.363803228
4000 0.03422222222222222 0.00023376623376623374 1.251434754532815e-07 0.20204235500000012  -1.567990892 -1.567915401 -1.567828716 -1.365948537 -1.365713504 -1.365264206 -1.362725508
4000 0.03422222222222222 0.00023376623376623374 1.354729638742274e-07 0.20277286399999994  -1.567881767 -1.567869943 -1.567851265 -1.365108903 -1.364877974 -1.364756326 -1.363068082
4000 0.03422222222222222 0.00023376623376623374 1.1761217012820208e-07 0.20313504500000001  -1.568096584 -1.567982354 -1.567914501 -1.364961539 -1.364202678 -1.364008906 -1.36386106
4000 0.03422222222222222 0.00023376623376623374 1.2597736990791443e-07 0.20185496700000005  -1.56802302 -1.567973946 -1.567817534 -1.366168053 -1.365970318 -1.365666842 -1.36364293
4000 0.03422222222222222 0.00023376623376623374 1.3652009167448116e-07 0.20474633799999986  -1.567928244 -1.567884037 -1.567853827 -1.363181906 -1.362846801 -1.362782126 -1.362720169
4000 0.03422222222222222 0.00023376623376623374 1.288780977338287e-07 0.20199698700000002  -1.568075799 -1.567971519 -1.567940179 -1.366078812 -1.365650733 -1.365003883 -1.364093024
4000 0.06744444444444445 0.00011861614497528829 1.3689621158807645e-07 0.20469720600000008  -1.567926294 -1.567901684 -1.567855998 -1.363229088 -1.363080146 -1.362899681 -1.362855152
4000 0.06744444444444445 0.00011861614497528829 1.295081178084906e-07 0.204451186  -1.567905788 -1.567889732 -1.56786381 -1.363454602 -1.363005475 -1.362827028 -1.362366844
4000 0.06744444444444445 0.00011861614497528829 1.3187237412912304e-07 0.20403868399999991  -1.567958166 -1.567929833 -1.567878994 -1.363919482 -1.363668116 -1.363159923 -1.362614339
4000 0.06744444444444445 0.00011861614497528829 1.1733004132360516e-07 0.20259896499999996  -1.567962975 -1.567951917 -1.56788516 -1.36536401 -1.365049563 -1.364754751 -1.363815423
4000 0.06744444444444445 0.00011861614497528829 1.3565736398444734e-07 0.2043762389999999  -1.567905199 -1.567881767 -1.567844976 -1.36352896 -1.363327262 -1.363201771 -1.362435559
