6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,19.617616128925075 ,[17.28202391  8.84847446] ,4 ,0 ,6.456166750403031e-06 ,  47.49524395 47.52519822 47.54480019 47.5606923 47.56407032 47.57342025 47.58878446
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , Unknown ,Unknown ,Unknown ,Unknown ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , Unknown ,Unknown ,Unknown ,Unknown ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,21.67345039804495 ,[20.78708668 35.12037615] ,204 ,0 ,2.048141708618267e-05 ,  -87.87046208 -87.79808037 -87.79000987 -87.77304535 -87.71915934 -87.70966718 -87.70320555
6 ,18 ,Coulomb , Unknown ,Unknown ,Unknown ,Unknown ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , Unknown ,Unknown ,Unknown ,Unknown ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,18.573619950412855 ,[17.94905763 29.05950367] ,145 ,0 ,1.8582328131527977e-05 ,  -87.06253183 -87.05353804 -87.02205195 -86.99894352 -86.99682491 -86.99115807 -86.97064132
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , Unknown ,Unknown ,Unknown ,Unknown ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,11.357706354231716 ,[ 8.37338347 11.31502085] ,0 ,0 ,9.636021068906382e-06 ,  21.14927775 21.15844122 21.16801699 21.17022115 21.17529543 21.18237499 21.18605485
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
0 ,0 ,Unknown , Unknown ,Unknown ,Unknown ,Unknown ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.000571428571429 ,-0.000571428571429 ,0.175 ,UNKNOWN ,['UNKNOWN'] ,U ,U ,Unknown , UNKNOWN
6 ,18 ,Coulomb , 4800.0 ,0.002 ,-0.002 ,0.05 ,4.741310520230972 ,[4.93369    4.04801257] ,3 ,0 ,2.5876391260496713e-05 ,  -48.27943349 -48.1801705 -48.15587232 -48.12203736 -48.10598334 -48.09459905 -48.08809931
