# imps sigma lcorrMax lcorrmin sigmaxmax sigmaymax  sigmaMinx sigmaMiny
4.000000000000000000e+03 1.000000000000000021e-03 3.809696467978361256e-01 1.060259495939347152e-01 8.617851120343070215e-02 1.363487666585831704e-01 4.470269697795704822e+00 4.423419547011102695e-03
4.000000000000000000e+03 1.000000000000000021e-03 3.841491283427820869e-01 1.072438218449807967e-01 5.386625556897282202e-02 2.790548402058233290e-01 -1.000000000000000000e+01 -1.000000000000000000e+01
4.000000000000000000e+03 1.068421052631578910e-01 3.097354149424718273e+01 8.251122564619148392e+00 2.391469830200191993e+01 4.682962507207997760e+01 7.334568859691684040e+00 1.094975614131020336e+01
4.000000000000000000e+03 1.115555555555555606e-01 3.002503029199722562e+01 8.409610483050823149e+00 2.342586365153145422e+01 3.815867465388844693e+01 1.238780685816677618e+01 7.605468585255388270e+00
4.000000000000000000e+03 1.155555555555555503e-02 1.226367879011454942e+00 1.066465933568346403e+00 1.170186277418630239e+00 1.252403585585816881e+00 1.204813393202587291e+00 1.054941660199993914e+00
4.000000000000000000e+03 1.157894736842105254e-01 3.653452854046436471e+01 8.196736179416857837e+00 1.342116073609216720e+01 3.833292471933705059e+01 3.507815146100512038e+01 6.963505389399816181e+01
4.000000000000000000e+03 1.247368421052631599e-01 3.886926760424915983e+01 9.122692548704133486e+00 1.648117624309962892e+01 4.738010915109775567e+01 8.873413568451006483e+00 3.200769083208249555e+01
4.000000000000000000e+03 1.336666666666666836e-01 4.109064015849054385e+01 1.032895354813977029e+01 2.462814586914988269e+01 5.205572832916531212e+01 1.779079802666482735e+01 9.546749934371622004e+00
4.000000000000000000e+03 1.336842105263157943e-01 3.977135473916562347e+01 9.718009912406415651e+00 2.163919833920389380e+01 5.385104358307749806e+01 8.878339938151343702e+00 2.771481744851545770e+01
4.000000000000000000e+03 1.366666666666666724e-02 1.454103798077593490e+00 1.262235490411159455e+00 1.389371622515254368e+00 1.522404085260629314e+00 1.252207142909076865e+00 1.377804489929355336e+00
4.000000000000000000e+03 1.426315789473684148e-01 3.788485770118030871e+01 1.187561279534470593e+01 4.398780098174347586e+01 2.976957644871105302e+01 1.943419560909470434e+01 1.160977595701900000e+01
4.000000000000000000e+03 1.515789473684210353e-01 4.190676106678797908e+01 1.120193896343419127e+01 2.782136509391107637e+01 4.829937762174898808e+01 1.095537779592965322e+01 1.404002246905250040e+01
4.000000000000000000e+03 1.557777777777777928e-01 4.773939918581051245e+01 1.199994000236270075e+01 2.042927296122149627e+01 1.159960760218042530e+01 1.158468595454013617e+01 1.537738022061717480e+01
4.000000000000000000e+03 1.577777777777777599e-02 1.725410417997876200e+00 1.475908733742764101e+00 1.776194546443492506e+00 1.422034731823645481e+00 1.447996587970554527e+00 1.499765069494589431e+00
4.000000000000000000e+03 1.605263157894736836e-01 3.882828978028472022e+01 1.102583828445774294e+01 4.415186798013649532e+05 2.670623674814304849e+01 3.526623907259612167e+01 1.063853707332985188e+01
4.000000000000000000e+03 1.694736842105263319e-01 4.312088481924435968e+01 1.175176713471841339e+01 4.527852368744436973e+01 1.656036565171049446e+01 6.701716593155566443e+03 1.007696059903318201e+04
4.000000000000000000e+03 1.778888888888889019e-01 6.106575143899156188e+01 1.049322433904108642e+01 2.585553340831058122e+01 5.133402976889343117e+05 3.231514299225667486e+01 9.067885426368077262e+00
4.000000000000000000e+03 1.784210526315789247e-01 3.764996440180337345e+01 1.172938716464702225e+01 2.060469990623622749e+01 4.405875289186305110e+01 1.070296780859876762e+01 2.721981202745278594e+01
4.000000000000000000e+03 1.788888888888888820e-02 2.035860377275127586e+00 1.680511281122215150e+00 2.060222605063038337e+00 1.742725269182938908e+00 1.692492963196216227e+00 1.660335126195500166e+00
